0,1,2,3,4,5,6,7,8
Event,,Date (UTC),,Rough originalsize (meters),,Latitude (°),,Longitude (°)
May 2017 event[93],2017/05/26 19:25,13,+51.2,?,,,,
Mar 2016 event[93],2016/03/17 00:18:33,15,+4,?,,,,
Sep 2012 event[94][93],2012/09/10 11:35:00,30,+2,345,,,,
Aug 2010 event[94][93],2010/08/20 18:22:12,10,+11,?,,,,
Jun 2010 Jupiter impact event,2010/06/03 20:31:20,12,−16.1,342.7,,,,
Jul 2009 Jupiter impact event,2009/07/19 13:30,300,−57,305,,,,
Jul 1994 Comet Shoemaker–Levy 9,1994/07/16-22,1800,−65,?,,,,
